1,JD,Magnitude
287,2404314.0,3.6
290,2404332.0,4.38
291,2404333.0,4.38
294,2404335.0,3.55
295,2404336.0,3.6
296,2404337.0,3.8
297,2404338.0,4.0
298,2404339.0,4.18
299,2404340.0,4.25
300,2404341.0,4.07
301,2404342.0,3.55
302,2404346.0,3.85
303,2404348.0,3.9
304,2404354.0,4.3
305,2404356.0,3.55
306,2404364.0,3.5
307,2404366.0,3.7
308,2404369.0,4.25
309,2404371.0,3.6
310,2404372.0,3.63
311,2404373.0,3.8
312,2404375.0,4.25
313,2404377.0,3.6
314,2404383.0,4.05
315,2404391.0,3.9
316,2404398.0,4.2
317,2404399.0,3.57
318,2404555.0,4.07
319,2404562.0,4.27
320,2404563.0,4.24
321,2404565.0,3.6
322,2404568.0,4.07
323,2404570.0,4.24
324,2404571.0,4.35
325,2404572.0,3.65
326,2404573.0,3.55
327,2404574.0,3.6
328,2404576.0,4.2
329,2404577.0,4.4
330,2404579.0,3.63
331,2404590.0,4.3
332,2404594.0,3.65
333,2404595.0,3.7
334,2404608.0,3.65
335,2404616.0,3.6
336,2404623.0,3.6
337,2404624.0,3.63
338,2404625.0,3.7
339,2404626.0,4.0
340,2404630.0,3.55
341,2404641.0,4.25
342,2404647.0,4.2
343,2404648.0,4.3
344,2404649.0,4.15
345,2404650.0,3.57
346,2404651.0,3.55
347,2404652.0,3.63
348,2404657.0,3.6
349,2404658.0,3.5
350,2404660.0,3.65
351,2404661.0,3.85
352,2404663.0,4.5
353,2404664.0,4.1
354,2404665.0,3.5
355,2404666.0,3.65
356,2404667.0,3.77
357,2404668.0,3.93
358,2404669.0,3.87
359,2404670.0,4.3
360,2404675.0,3.8
361,2404676.0,4.27
362,2404677.0,4.4
363,2404678.0,4.25
364,2404679.0,3.85
365,2404680.0,3.6
366,2404681.0,3.65
367,2404682.0,3.78
368,2404683.0,4.0
369,2404691.0,4.44
370,2404705.0,4.2
371,2404706.0,4.3
372,2404707.0,3.75
373,2404713.0,4.35
374,2404715.0,3.6
375,2404716.0,3.45
376,2404717.0,3.6
377,2404718.0,3.7
378,2404721.0,4.05
379,2404726.0,4.1
380,2404736.0,3.65
381,2404737.0,3.55
382,2404741.0,4.3
383,2404746.0,3.6
384,2404751.0,3.55
385,2404767.0,3.6
386,2404769.0,3.9
