JD,Magnitude
2404746.304,3.7
2404751.254,4.05
2404764.474,3.8
2404767.264,4.0
2404769.274,3.75
2404794.414,3.85
2404812.244,3.7
2404818.244,4.0
2404819.304,4.1
2404823.304,4.1
2404826.414,3.9
2404834.244,3.75
2404836.274,4.1
2404838.244,3.6
2404842.244,4.0
2404850.304,4.0
2404855.314,3.7
2404857.314,4.07
2404858.294,4.15
2404859.324,3.5
2404860.324,3.6
2404861.304,3.7
2404865.314,3.6
2404867.314,3.92
2404868.284,4.12
2404891.504,3.57
2404897.514,3.55
2404899.474,3.85
2404908.514,3.55
2404912.534,3.8
2404932.514,4.0
2404959.514,4.0
2404969.514,3.95
2404975.474,3.85
2404980.394,3.95
2404981.454,4.04
2404982.504,3.45
2404986.524,4.03
2404987.394,3.95
2405000.394,3.75
2405001.474,3.95
2405002.444,4.04
2405017.444,3.8
2405018.444,3.95
2405018.484,3.92
2405019.374,4.06
2405019.484,4.05
2405020.364,3.4
2405020.464,3.4
2405021.354,3.7
2405022.394,3.9
2405023.434,3.9
2405023.504,3.87
2405024.414,4.04
2405026.404,3.5
2405027.354,3.7
2405030.404,3.8
2405030.514,3.75
2405031.364,3.45
2405031.434,3.45
2405035.354,4.03
2405038.394,3.75
2405038.504,3.8
2405039.384,3.95
2405039.464,3.95
2405040.394,4.08
2405041.434,3.73
2405042.364,3.63
2405042.504,3.63
2405043.354,3.7
2405043.514,3.8
2405045.344,3.97
2405045.434,4.03
2405047.364,3.4
2405047.474,3.45
2405048.364,3.65
2405048.484,3.7
2405049.344,3.9
2405049.504,3.9
2405050.344,3.9
2405050.514,4.0
2405054.344,3.85
2405056.404,4.07
2405057.314,3.65
2405057.424,3.65
2405058.324,3.55
2405059.354,3.75
2405059.464,3.8
2405060.334,3.95
2405060.504,3.96
2405061.344,3.98
2405061.444,3.98
2405062.324,4.05
2405062.444,4.1
2405063.474,3.55
2405063.644,3.55
2405064.314,3.6
2405067.334,4.05
2405068.294,3.65
2405068.434,3.6
2405073.534,3.72
2405077.294,4.05
2405077.534,4.1
2405079.274,3.45
2405082.524,4.0
2405083.394,4.15
2405089.404,3.95
2405090.274,3.45
2405093.284,4.0
2405102.314,3.68
2405105.264,3.95
2405105.344,3.95
2405105.484,4.0
2405106.294,3.6
2405113.284,3.66
2405115.254,4.1
2405119.294,4.0
2405119.384,4.02
2405124.224,3.95
2405124.314,3.8
2405129.264,3.75
2405131.254,4.05
2405133.314,3.6
2405140.404,4.0
2405140.504,3.95
2405141.234,4.05
2405151.234,3.95
2405152.214,4.05
2405154.254,3.95
2405155.214,3.65
2405157.224,4.1
2405160.274,3.6
2405160.414,3.65
2405162.244,4.05
2405164.314,4.03
2405168.414,4.05
2405173.314,4.05
2405184.254,4.03
2405186.284,3.7
2405201.264,4.13
2405201.274,4.2
2405207.274,4.13
2405208.274,3.5
2405218.284,4.04
2405227.294,4.02
2405232.304,4.0
2405242.294,4.05
2405243.314,3.9
2405247.324,3.5
2405250.344,3.9
2405250.664,3.67
2405251.514,3.45
2405258.514,3.57
2405262.494,3.6
2405263.484,3.73
2405304.464,3.57
2405311.484,3.65
2405312.414,3.94
2405320.394,3.63
2405338.484,3.6
2405418.394,3.7
2405422.284,3.72
2405422.454,3.7
2405423.304,3.4
2405424.284,3.65
2405424.414,3.7
2405425.294,3.9
2405425.374,3.95
2405426.294,4.0
2405427.294,4.0
2405427.374,3.93
2405427.654,3.8
2405428.294,3.5
2405428.394,3.45
2405429.314,3.65
2405429.324,3.65
2405429.454,3.67
2405431.274,3.93
2405432.274,4.05
2405432.374,4.08
2405432.524,4.1
2405434.404,3.67
2405438.274,3.9
2405438.364,3.8
2405439.364,3.55
2405441.344,3.8
2405441.464,3.87
2405442.294,4.0
2405444.284,3.47
2405444.424,3.5
2405448.264,4.05
2405448.374,4.08
2405448.454,4.1
2405449.264,3.68
2405449.364,3.68
2405449.494,3.63
2405458.284,3.9
2405458.384,4.0
2405459.334,4.15
2405459.494,4.1
2405460.254,3.47
2405460.344,3.47
2405460.504,3.45
2405463.364,4.08
2405463.474,4.08
2405466.234,3.6
2405467.244,3.65
2405468.284,3.85
2405468.364,4.0
2405471.244,3.36
2405472.264,3.6
2405474.274,3.95
2405474.354,4.07
2405474.454,4.1
2405475.214,4.06
2405475.304,4.07
2405475.454,4.1
2405476.214,3.64
2405476.314,3.62
2405476.424,3.6
2405476.534,3.58
2405477.214,3.57
2405477.314,3.6
2405478.414,3.8
2405482.264,3.6
2405482.374,3.65
2405485.414,4.07
2405489.244,3.75
2405493.404,3.57
2405494.244,3.7
2405494.334,3.75
2405494.444,3.8
2405495.204,4.0
2405499.424,3.75
2405500.214,3.85
2405500.304,3.92
2405501.224,4.07
2405501.324,4.2
2405502.214,4.15
2405502.374,4.15
2405503.224,3.5
2405503.324,3.5
2405503.414,3.45
2405503.514,3.45
2405504.214,3.6
2405504.304,3.68
2405504.434,3.64
2405512.224,3.95
2405517.394,4.13
2405517.484,4.2
2405522.234,4.25
2405522.354,4.2
2405522.454,4.25
2405523.214,4.15
2405523.314,4.15
2405523.444,4.1
2405524.304,3.7
2405530.234,3.5
2405530.314,3.5
2405532.214,3.85
2405532.334,3.96
2405533.364,4.14
2405533.454,4.13
2405534.224,4.1
2405539.224,4.25
2405539.324,4.2
2405539.454,4.2
2405540.284,4.04
2405549.254,4.1
2405549.344,4.1
2405550.234,4.05
2405552.244,3.5
2405552.344,3.6
2405556.244,4.1
2405556.344,4.06
2405559.254,3.84
2405560.244,4.03
2405560.344,4.07
2405561.244,4.1
2405561.344,4.15
2405562.254,3.5
2405563.354,3.66
2405565.254,4.05
2405566.254,4.2
2405566.354,4.16
2405566.464,4.15
2405567.254,3.74
2405567.344,3.7
2405568.334,3.57
2405569.264,3.68
2405569.354,3.7
2405571.344,4.06
2405574.254,3.65
2405574.354,3.67
2405575.254,3.7
2405575.354,3.7
2405576.264,4.0
2405576.674,4.04
2405586.294,3.7
2405588.264,4.1
2405591.294,3.8
2405593.284,4.05
2405596.284,3.7
2405606.624,3.56
2405608.524,4.0
2405621.584,3.45
2405625.544,4.0
2405634.574,3.94
2405635.494,4.04
2405638.484,3.5
2405640.474,4.06
2405643.504,3.43
2405651.514,4.05
2405662.494,3.95
2405663.484,4.0
2405664.554,3.5
2405665.514,3.63
2405670.544,3.5
2405686.494,3.57
2405687.454,3.65
2405689.504,4.0
2405696.504,3.4
2405697.464,3.65
2405698.514,3.7
2405700.404,4.04
2405706.494,3.85
2405706.574,3.97
2405707.444,3.4
2405708.434,3.64
2405709.444,3.8
2405710.394,4.03
2405710.514,4.04
2405711.404,4.07
2405713.414,3.58
2405713.524,3.65
2405716.494,4.04
2405717.464,3.85
2405718.464,3.36
2405718.564,3.46
2405719.404,3.64
2405719.504,3.65
2405722.414,3.94
2405722.544,3.8
2405723.494,3.46
2405724.404,3.63
2405724.544,3.65
2405726.414,4.05
2405735.404,3.65
2405735.544,3.7
2405736.384,3.93
2405736.494,3.94
2405738.394,3.96
2405742.444,4.0
2405742.554,4.0
2405743.354,4.05
2405743.474,4.04
2405744.514,3.67
2405749.374,4.0
2405751.344,3.65
2405754.344,4.05
2405754.514,4.0
2405755.364,3.5
2405755.464,3.4
2405756.464,3.6
2405758.344,3.94
2405758.484,3.93
2405759.344,4.15
2405766.364,3.45
2405775.374,3.96
2405777.364,3.44
2405777.474,3.46
2405786.334,4.05
2405786.474,3.98
2405788.334,3.5
2405791.274,4.1
2405792.394,3.93
2405794.364,3.66
2405795.354,3.9
2405796.494,4.15
2405799.264,3.65
2405799.414,3.68
2405802.274,4.07
2405803.274,3.94
2405803.374,3.9
2405803.524,3.7
2405806.394,4.1
2405810.274,3.5
2405811.264,3.7
2405811.434,3.9
2405812.314,4.0
2405812.394,4.04
2405820.424,3.5
2405821.404,3.67
2405824.294,4.0
2405839.304,4.07
2405839.514,4.1
2405853.254,3.54
2405854.404,3.8
2405886.244,4.08
2405892.344,4.1
2405900.284,3.6
2405916.334,3.5
2405917.274,3.8
2405919.274,4.15
2405926.244,4.08
2405927.264,3.45
2405931.264,4.2
2405938.284,3.5
2405941.284,4.2
2405942.264,4.02
2405943.274,3.57
2405944.264,3.65
2405947.264,4.15
2405951.284,3.9
2405951.664,3.95
2405952.294,4.1
2405953.294,4.05
2405958.294,4.2
2405962.284,3.9
2405963.294,4.1
2405966.304,4.05
2405990.504,3.95
2405992.524,3.7
2405995.544,4.07
2405999.524,3.95
2406003.514,3.65
2406004.524,3.9
2406005.484,3.9
2406006.494,4.05
2406018.474,3.36
2406022.524,3.95
2406023.544,3.4
2406033.484,4.0
2406042.544,3.95
2406073.444,3.7
2406081.414,4.07
2406098.414,3.9
2406139.324,3.6
2406139.464,4.0
2406140.304,4.05
2406140.464,4.1
2406142.354,3.36
2406143.314,3.7
2406144.344,3.85
2406146.384,4.0
2406147.374,3.4
2406147.474,3.4
2406148.424,3.64
2406149.404,3.9
2406150.304,4.0
2406151.344,4.04
2406152.304,3.68
2406165.274,3.9
2406196.254,3.6
2406201.304,4.1
2406205.294,4.1
2406229.394,4.0
2406229.494,4.05
2406238.234,3.55
2406239.224,3.6
2406240.314,3.85
2406240.514,3.9
2406241.234,4.07
2406241.424,4.1
2406242.244,4.2
2406243.344,3.95
2406244.274,3.55
2406246.244,3.95
2406246.374,4.0
2406246.514,4.0
2406247.234,4.2
2406247.394,4.15
2406248.224,3.94
2406248.404,3.96
2406253.384,4.1
2406254.474,3.5
2406258.204,4.25
2406258.404,4.2
2406260.394,3.55
2406261.224,3.75
2406262.314,3.87
2406263.294,4.04
2406264.234,4.1
2406265.284,3.5
2406269.294,4.05
2406278.284,3.95
2406279.314,4.07
2406280.354,4.05
2406281.314,3.44
2406282.324,3.6
2406283.324,3.8
2406284.234,4.0
2406285.324,4.1
2406286.234,3.67
2406299.314,3.55
2410894.314,3.97
2410894.544,4.1
2410895.364,4.05
2410896.374,3.57
2410899.364,4.04
2410901.374,3.67
2410902.324,3.44
2410903.314,3.67
2410904.314,3.9
2410906.444,4.15
2410907.324,3.4
2410908.314,3.6
2410909.444,3.98
2410912.304,3.55
2410914.274,3.63
2410915.324,3.8
2410916.324,3.9
2410917.464,3.9
2410918.474,3.5
2410924.534,3.6
2410926.344,3.7
2410932.224,3.9
2410934.414,3.45
2410935.334,3.6
2410936.244,3.9
2410938.344,4.2
2410939.254,3.57
2410939.434,3.5
2410947.244,3.8
2410947.434,3.94
2410948.244,3.97
2410949.254,4.02
2410950.244,3.35
2410951.224,3.67
2410952.244,3.9
2410954.344,4.25
2410962.224,3.7
2410968.264,4.05
2410972.244,3.8
2410972.374,3.67
2410974.254,3.87
2410974.484,4.04
2410975.224,4.1
2410975.444,4.2
2410976.214,4.05
2410976.484,3.9
2410978.214,3.66
2410978.514,3.69
2410979.224,3.9
2410979.514,3.9
2410980.214,4.0
2410980.414,4.1
2410981.244,4.07
2410982.274,3.4
2410984.214,3.95
2410984.514,3.98
2410985.194,4.05
2410985.494,4.11
2410986.244,4.2
2410986.504,4.17
2410987.204,3.7
2410990.204,4.0
2410990.464,4.1
2410991.204,4.2
2410994.384,3.67
2410995.434,3.9
2410997.204,4.2
2410998.204,3.55
2410998.454,3.5
2410998.684,3.35
2410999.194,3.57
2410999.214,3.6
2410999.534,3.4
2411000.264,3.95
2411001.244,4.1
2411003.324,3.9
2411003.544,3.63
2411004.214,3.52
2411004.494,3.55
2411005.214,3.8
2411005.474,3.9
2411006.214,4.08
2411007.214,4.2
2411007.464,4.25
2411008.214,4.2
2411008.464,4.1
2411009.224,3.5
2411009.464,3.43
2411010.214,3.95
2411010.244,3.95
2411019.354,3.94
2411020.224,3.5
2411020.414,3.5
2411021.224,3.6
2411025.414,3.35
2411026.244,3.55
2411035.244,3.5
2411035.454,3.45
2411036.294,3.6
2411039.254,4.25
2411041.324,3.6
2411041.494,3.4
2411051.314,4.12
2411055.354,4.15
2411055.614,4.2
2411061.274,4.35
2411061.494,4.3
2411063.474,3.4
2411076.464,4.2
2411077.294,4.35
2411077.474,4.35
2411083.304,4.3
2411084.324,3.5
2411084.504,3.45
2411085.464,3.55
2411089.544,3.5
2411096.344,3.5
2411101.524,3.65
2411123.554,3.6
2411125.354,4.2
2411125.534,4.25
2411126.504,4.05
2411127.514,3.45
2411129.374,3.9
2411129.534,3.93
2411130.504,4.05
2411132.444,3.45
2411135.464,4.08
2411136.394,4.2
2411144.464,3.63
2411145.394,3.85
2411145.554,3.9
2411146.474,4.1
2411147.394,4.1
2411147.554,4.1
2411148.414,3.63
2411149.414,3.45
2411149.564,3.55
2411150.414,3.7
2411150.564,3.8
2411152.414,4.05
2411152.424,4.15
2411154.394,3.4
2411155.514,3.7
2411156.394,3.9
2411156.554,3.96
2411159.494,3.36
2411160.394,3.6
2411160.544,3.58
2411161.404,3.8
2411171.414,3.55
2411172.434,3.85
2411173.484,4.0
2411174.454,4.05
2411175.464,3.65
2411176.514,3.6
2411177.474,3.8
2411178.484,4.04
2411179.414,4.1
2411179.554,4.12
2411180.404,3.8
2411180.544,3.7
2411181.484,3.6
2411182.484,3.75
2411187.454,3.8
2411188.434,3.87
2411189.414,4.05
2411189.554,4.05
2411190.394,4.1
2411190.554,4.1
2411192.484,3.63
2411193.394,3.9
2411194.394,4.0
2411194.564,4.05
2411201.554,4.0
2411202.384,3.35
2411202.544,3.4
2411205.414,4.05
2411207.374,3.7
2411207.544,3.6
2411209.374,3.9
2411210.434,4.0
2411212.434,3.9
2411214.374,3.7
2411214.554,3.68
2411215.364,3.95
2411215.554,3.95
2411216.364,4.06
2411217.364,4.1
2411217.544,4.04
2411218.464,3.57
2411219.514,3.63
2411220.354,3.95
2411221.484,4.0
2411222.354,4.1
2411222.544,4.08
2411223.404,3.7
2411225.364,3.85
2411232.484,4.25
