JD,Magnitude
2404561.524,4.27
2404562.514,4.24
2404564.504,3.6
2404567.504,4.07
2404569.504,4.24
2404570.504,4.35
2404571.514,3.65
2404572.584,3.55
2404573.514,3.6
2404576.494,4.2
2404577.474,4.4
2404579.484,3.63
2404589.524,4.3
2404594.464,3.65
2404595.474,3.7
2404608.494,3.65
2404616.404,3.6
2404623.484,3.6
2404624.484,3.63
2404625.464,3.7
2404626.404,4.0
2404630.454,3.55
2404641.424,4.25
2404647.414,4.2
2404648.464,4.3
2404649.444,4.15
2404650.414,3.57
2404651.454,3.55
2404652.414,3.63
2404657.394,3.6
2404658.374,3.5
2404660.424,3.65
2404661.474,3.85
2404663.464,4.5
2404664.394,4.1
2404665.474,3.5
2404666.404,3.65
2404667.374,3.77
2404668.364,3.93
2404669.374,3.87
2404670.354,4.3
2404675.414,3.8
2404676.374,4.27
2404677.444,4.4
2404678.404,4.25
2404679.444,3.85
2404680.354,3.6
2404681.394,3.65
2404682.354,3.78
2404683.344,4.0
2404691.324,4.44
2404705.384,4.2
2404706.354,4.3
2404707.354,3.75
2404713.354,4.35
2404715.334,3.6
2404716.344,3.45
2404717.264,3.6
2404718.344,3.7
2404721.294,4.05
2404726.254,4.1
2404736.344,3.65
2404737.274,3.55
2404741.314,4.3
2404746.294,3.6
2404751.264,3.55
2404767.234,3.6
2404769.234,3.9
2404787.234,3.65
2404908.594,4.0
2404932.514,3.6
2404959.514,3.5
2404969.514,3.85
2404981.444,3.6
2404982.494,3.6
2404986.514,4.47
2404987.394,3.75
2405000.394,4.42
2405001.464,3.75
2405002.434,3.54
2405017.494,3.55
2405018.404,3.53
2405018.484,3.55
2405019.374,3.65
2405020.364,3.9
2405020.464,3.8
2405021.364,4.18
2405022.394,4.35
2405023.204,3.7
2405023.424,3.7
2405024.374,3.5
2405026.394,3.66
2405027.334,3.85
2405030.404,3.75
2405030.494,3.83
2405031.364,3.55
2405031.444,3.55
2405034.444,3.85
2405035.344,4.2
2405038.394,3.55
2405038.494,3.5
2405039.374,3.55
2405039.464,3.58
2405040.394,3.6
2405041.464,3.8
2405042.374,4.25
2405043.364,4.45
2405045.344,3.53
2405045.424,3.55
2405047.364,3.9
2405047.474,3.65
2405048.394,3.8
2405048.474,3.75
2405049.334,4.24
2405049.504,4.1
2405050.334,4.25
2405050.464,4.25
