1,JD,Magnitude
364,2403502.0,3.7
365,2403504.0,3.9
366,2403505.0,4.05
367,2403509.0,4.0
368,2403525.0,3.95
369,2403534.0,3.5
370,2403538.0,3.93
371,2403539.0,3.58
372,2403540.0,3.7
375,2403716.0,3.58
376,2403717.0,3.7
377,2403719.0,4.12
378,2403721.0,3.65
379,2403722.0,3.63
380,2403723.0,3.9
381,2403728.0,3.68
382,2403734.0,4.07
383,2403736.0,4.13
386,2403789.0,3.9
387,2403792.0,3.6
388,2403798.0,3.75
389,2403800.0,4.06
390,2403823.0,3.6
391,2403830.0,3.7
392,2403835.0,3.6
393,2403851.0,3.4
394,2403856.0,3.5
395,2403857.0,3.7
396,2403858.0,3.9
397,2403869.0,4.0
400,2403876.0,4.0
401,2403877.0,3.37
402,2403878.0,3.66
403,2403882.0,3.5
404,2403883.0,3.65
405,2403884.0,3.9
406,2403889.0,3.7
407,2403890.0,3.9
408,2403891.0,4.0
409,2403893.0,3.65
410,2403897.0,4.05
411,2403898.0,3.44
412,2403900.0,3.94
413,2403901.0,4.04
414,2403902.0,4.1
415,2403904.0,3.46
416,2403909.0,3.43
417,2403911.0,3.7
418,2403914.0,3.7
419,2403917.0,4.0
420,2403923.0,3.93
421,2403928.0,4.08
422,2403929.0,4.08
423,2403930.0,3.93
424,2403931.0,3.5
425,2403934.0,4.0
426,2403935.0,4.04
427,2403936.0,3.4
428,2403937.0,3.65
429,2403938.0,3.87
430,2403939.0,3.96
431,2403941.0,3.55
432,2403942.0,3.65
433,2403944.0,4.0
434,2403945.0,4.08
435,2403948.0,3.7
436,2403949.0,3.9
437,2403967.0,4.07
438,2403969.0,3.6
439,2403970.0,3.83
440,2403972.0,4.05
441,2403977.0,4.06
442,2403978.0,4.0
443,2403981.0,3.9
444,2403982.0,4.1
445,2403983.0,3.96
446,2403987.0,3.9
447,2403989.0,3.95
448,2403998.0,4.05
449,2404001.0,3.57
450,2404008.0,4.02
451,2404009.0,4.2
452,2404012.0,3.7
453,2404014.0,4.0
454,2404019.0,4.07
455,2404023.0,3.68
456,2404025.0,4.0
457,2404033.0,3.63
458,2404036.0,4.1
459,2404037.0,4.15
460,2404039.0,3.65
461,2404040.0,3.9
462,2404042.0,4.15
463,2404045.0,3.93
464,2404047.0,4.15
465,2404049.0,3.7
466,2404051.0,4.02
467,2404053.0,4.15
468,2404062.0,4.05
469,2404064.0,4.04
470,2404088.0,3.75
